"DISTRICTCODE","Nama Kabupaten","latitude","longitude"
"6106","KABUPATEN KETAPANG","-1.859098","109.971901"
"6107","KABUPATEN SINTANG","0.080238","111.495499"
"6108","KABUPATEN KAPUAS HULU","-0.7931004","113.90606240000001"
"6109","KABUPATEN SEKADAU","0.015637","110.888603"
"6110","KABUPATEN MELAWI","-0.7000681","111.66607250000001"
"6111","KABUPATEN KAYONG UTARA","-0.9225877","110.0449662"
"6112","KABUPATEN KUBU RAYA","-0.35339380000000004","109.4735066"
"6171","KOTA PONTIANAK","-0.022522999999999998","109.330307"
"6172","KOTA SINGKAWANG","0.908795","108.984596"
"6201","KABUPATEN KOTAWARINGIN BARAT","-6.1961131","106.86301740000002"
"6202","KABUPATEN KOTAWARINGIN TIMUR","-6.1952992","106.8630737"
"6203","KABUPATEN KAPUAS","-0.7931004","113.90606240000001"
"6204","KABUPATEN BARITO SELATAN","-1.8759430000000001","114.8092691"
"6205","KABUPATEN BARITO UTARA","-0.9587136","115.094045"
"6206","KABUPATEN SUKAMARA","-2.6267517000000002","111.2368084"
"6207","KABUPATEN LAMANDAU","-1.9269166000000002","111.18911509999998"
"6208","KABUPATEN SERUYAN","-3.0123467","112.42914640000002"
"6209","KABUPATEN KATINGAN","-0.9758379","112.8105512"
"6210","KABUPATEN PULANG PISAU","-2.6849607000000004","113.9536466"
"6211","KABUPATEN GUNUNG MAS","-6.705277799999999","106.99138889999999"
"6212","KABUPATEN BARITO TIMUR","-2.0123999","115.18891599999999"
"6213","KABUPATEN MURUNG RAYA","-0.1362171","114.3341432"
"6271","KOTA PALANGKA RAYA","-2.21","113.92"
"6301","KABUPATEN TANAH LAUT","-3.7694047","114.8092691"
"6302","KABUPATEN KOTA BARU","-6.332973","106.807915"
"6303","KABUPATEN BANJAR","-7.366666700000001","108.53333329999998"
"6304","KABUPATEN BARITO KUALA","-3.0714737999999997","114.6667939"
"6305","KABUPATEN TAPIN","-2.9160746","115.0465991"
"6306","KABUPATEN HULU SUNGAI SELATAN","-2.7662681","115.23634080000001"
"6307","KABUPATEN HULU SUNGAI TENGAH","-2.6153162","115.5207358"
"6308","KABUPATEN HULU SUNGAI UTARA","-2.4421225","115.18891599999999"
"6309","KABUPATEN TABALONG","-1.8643020000000001","115.5681084"
"6310","KABUPATEN TANAH BUMBU","-3.4512244","115.5681084"
"6311","KABUPATEN BALANGAN","-2.3260425","115.61547320000001"
"6371","KOTA BANJARMASIN","-3.328499","114.589203"
"6372","KOTA BANJAR BARU","-3.4666667","114.75"
"6401","KABUPATEN PASER","-1.7175266","115.9467997"
"6402","KABUPATEN KUTAI BARAT","0.1353881","115.094045"
"6403","KABUPATEN KUTAI KARTANEGARA","-0.1336655","116.6081653"
"6404","KABUPATEN KUTAI TIMUR","0.9433773999999999","116.9852422"
"6405","KABUPATEN BERAU","2.0450883","117.3616476"
"6409","KABUPATEN PENAJAM PASER UTARA","-1.2917094","116.51379640000002"
"6411","KABUPATEN MAHAKAM HULU","0.37822000","115.38048000"
"6471","KOTA BALIKPAPAN","-1.2635389","116.82788329999998"
"6472","KOTA SAMARINDA","-0.502183","117.153801"
"6474","KOTA BONTANG","0.1333333","117.5"
"6501","KABUPATEN MALINAU","3.584221","116.647797"
"6502","KABUPATEN BULUNGAN","2.9042476","116.9852422"
"6503","KABUPATEN TANA TIDUNG","3.5518690000000004","117.07940819999999"
"6504","KABUPATEN NUNUKAN","4.0609227","117.666952"
"6571","KOTA TARAKAN","3.3","117.63333329999999"
"7101","KABUPATEN BOLAANG MONGONDOW","0.6870994","124.0641419"
"7102","KABUPATEN MINAHASA","1.0","124.58333329999999"
"7103","KABUPATEN KEPULAUAN SANGIHE","3.5303212","125.54389669999999"
"7104","KABUPATEN KEPULAUAN TALAUD","4.092","126.76799999999999"
"7105","KABUPATEN MINAHASA SELATAN","1.0946773","124.4641848"
"7106","KABUPATEN MINAHASA UTARA","1.5327973","124.99475100000001"
"7107","KABUPATEN BOLAANG MONGONDOW UTARA","0.818691","123.52800719999999"
"7108","KABUPATEN SIAU TAGULANDANG BIARO","2.345964","125.4124355"
"7109","KABUPATEN MINAHASA TENGGARA","1.0278551","124.72987649999999"
"7110","KABUPATEN BOLAANG MONGONDOW SELATAN","0.4053","123.8411"
"7111","KABUPATEN BOLAANG MONGONDOW TIMUR","0.7153","124.4642"
